STATE,CONSTITUENCY, Assets ,WINNER,PARTY,GENDER,"CRIMINAL
CASES",AGE,EDUCATION,"GENERAL
VOTES","POSTAL
VOTES","TOTAL
VOTES",VoteAcc,VoteShare,Total Voters
Uttar Pradesh,FATEHPUR,10667372,1,BJP,FEMALE,0,52,12th Pass,563715,2325,566040,30.77455048,54.1930073,1839312
Uttar Pradesh,FATEHPUR SIKRI,14854247,1,BJP,MALE,3,52,Graduate,662794,4353,667147,38.81386077,64.24388036,1718837
Uttar Pradesh,FIROZABAD,42872395,1,BJP,MALE,0,68,Graduate Professional,494050,1769,495819,27.69149572,46.0552642,1790510
Punjab,FIROZPUR,2179919870,1,SAD,MALE,4,56,Post Graduate,631100,2327,633427,39.1386285,54.00975954,1618419
Maharashtra,GADCHIROLI-CHIMUR,50136369,1,BJP,MALE,0,55,12th Pass,517722,2246,519968,32.88093964,45.46231904,1581366
Gujarat,GANDHINAGAR,403275307,1,BJP,MALE,4,54,12th Pass,889925,4699,894624,45.97784324,69.5758213,1945772
Rajasthan,GANGANAGAR,21014362,1,BJP,MALE,0,48,Graduate,892744,4433,897177,46.16328597,61.74291249,1943486
Uttarakhand,GARHWAL,15032657,1,BJP,MALE,0,55,Post Graduate,487613,19367,506980,37.39353118,67.77608145,1355796
Assam,GAUHATI,630219570,1,BJP,FEMALE,0,67,Graduate,1007156,1780,1008936,46.25348241,57.19753961,2181319
Uttar Pradesh,GAUTAM BUDDHA NAGAR,478759568,1,BJP,MALE,0,59,Graduate Professional,828164,2648,830812,36.07583284,59.63588754,2302960
Bihar,GAYA,12766141,1,JD(U),MALE,3,55,12th Pass,465748,1259,467007,27.39693159,48.76573376,1704596
West Bengal,GHATAL,317320579,1,AITC,MALE,0,36,Others,717407,552,717959,39.88656679,48.20658574,1800002
Uttar Pradesh,GHAZIABAD,56545702,1,BJP,MALE,2,67,Doctorate,942576,1927,944503,34.6101361,61.93068375,2728978
Uttar Pradesh,GHAZIPUR,137938756,1,BSP,MALE,5,65,Post Graduate,564144,1938,566082,30.09350494,51.11363733,1881077
Uttar Pradesh,GHOSI,66536025,1,BSP,MALE,13,36,Graduate,572459,1370,573829,28.81172454,50.27061359,1991651
Jharkhand,GIRIDIH,13456889,1,AJSUP,MALE,2,50,Graduate,646864,1413,648277,39.30349767,58.55335653,1649413
Jharkhand,GODDA,462757500,1,BJP,MALE,4,47,Doctorate,635383,2227,637610,37.14018101,53.3858364,1716766
Uttar Pradesh,GONDA,232735285,1,BJP,MALE,0,53,Post Graduate,507276,914,508190,28.70727717,54.99159744,1770248
Bihar,GOPALGANJ,32739903,1,JD(U),MALE,0,61,Post Graduate,562424,5726,568150,30.88587529,55.3722214,1839514
Uttar Pradesh,GORAKHPUR,208494688,1,BJP,MALE,0,51,12th Pass,715010,2112,717122,36.19640046,60.52045488,1981197
Karnataka,GULBARGA,37490597,1,BJP,MALE,0,60,Post Graduate,617692,2500,620192,31.87394161,52.09635514,1945765
